period_raw,United States,China,Germany,Japan,India,United Kingdom,France,Brazil
2022M01,7.558806,0.832049,4.142012,0.501505,6.104194,4.939261,2.918622,10.50204
2022M02,7.937279,1.131222,4.3222,1.002004,6.081731,5.528443,3.6128,10.56309
2022M03,8.572205,1.634121,5.876592,1.2,6.866387,6.302448,4.545975,11.31383
2022M04,8.231751,2.084403,6.262231,2.320888,7.981838,7.662655,4.716657,12.03831
2022M05,8.538171,2.114122,7.03125,2.414487,6.979486,7.829272,5.208452,11.59987
2022M06,8.979361,2.370203,6.614786,2.306921,6.85318,8.094613,5.842748,11.77505
2022M07,8.462577,2.513594,6.686047,2.50501,6.563344,8.738535,6.014352,10.01643
2022M08,8.222579,2.36996,6.859903,3.009027,6.943794,8.623521,5.836267,8.740029
2022M09,8.192107,2.697416,8.582449,2.997003,7.313084,8.874407,5.586971,7.17434
2022M10,7.758814,2.12592,8.829175,3.911735,6.790267,9.593034,6.204955,6.509425
2022M11,7.122856,1.667344,8.882521,3.8,5.969634,9.383192,6.198857,5.990807
2022M12,6.4046,1.823925,8.102955,3.996004,5.719515,9.274278,5.904059,5.854272
2023M01,6.327179,1.823553,8.712121,4.391218,6.516291,8.883354,6.049822,5.85287
2023M02,5.957821,1.474476,8.6629,3.27381,6.424201,9.183462,6.26522,5.583387
2023M03,4.917719,0.798867,7.308048,3.26087,5.629065,8.868381,5.728368,4.706605
2023M04,4.95008,0.160933,7.18232,3.550296,4.64756,7.777787,5.83798,4.152458
2023M05,4.131851,0.140704,6.113139,3.24165,4.485343,7.835261,5.124308,3.878155
2023M06,3.070617,-0.090207,6.386861,3.333333,4.818482,7.258729,4.506739,3.085853
2023M07,3.287749,-0.360288,6.085377,3.323558,7.382107,6.358377,4.211884,3.930688
2023M08,3.722505,0.040088,6.148282,3.115871,6.788569,6.288357,4.774166,4.559806
2023M09,3.687207,0.080201,4.529307,3.103783,5.062051,6.382318,4.937875,5.161179
2023M10,3.251266,-0.280224,3.703704,3.185328,4.828559,4.757031,3.986852,4.831426
2023M11,3.133346,-0.41,3.245614,2.793834,5.589927,4.265893,3.535993,4.751066
2023M12,3.31591,-0.240168,3.703704,2.497598,5.734689,4.224026,3.748284,4.676667
2024M01,3.088343,-0.210105,2.787456,2.007648,5.026738,4.243873,3.177433,4.547581
2024M02,3.157074,0.1904,2.512998,2.785783,5.142127,3.851503,2.947917,4.465468
2024M03,3.486835,0.100321,2.327586,2.77512,4.989384,3.653076,2.216927,3.987993
2024M04,3.360795,0.261097,2.147766,2.47619,4.768954,3.077488,2.220845,3.717241
2024M05,3.244279,0.281012,2.321582,2.854424,4.978378,2.767797,2.282351,3.950762
2024M06,2.970258,0.200642,2.229846,2.8463,5.174223,2.779632,2.166512,4.176041
2024M07,2.941476,0.451989,2.311644,2.838221,3.611738,3.074488,2.257965,4.423113
2024M08,2.607144,0.571028,1.873935,3.116147,3.588639,3.050916,1.761212,4.205127
2024M09,2.426483,0.350596,1.614274,2.634055,5.419128,2.672642,1.112585,4.401415
2024M10,2.578844,0.371337,2.12585,2.245089,6.345099,3.187864,1.244009,4.73663
2024M11,2.719472,0.240988,2.209006,2.905342,5.530428,3.561682,1.304924,4.886721
2024M12,2.870691,0.120373,2.721088,3.655108,5.188293,3.475498,1.353552,4.856128
