period_raw,United States,China,Germany,Japan,India,United Kingdom,France,Brazil
2022M01,272000000000.0,589000000000.0,84900000000.0,129000000000.0,60000000000.0,40600000000.0,29900000000.0,36500000000.0
2022M02,273000000000.0,591000000000.0,85200000000.0,130000000000.0,60300000000.0,40300000000.0,29500000000.0,36900000000.0
2022M03,275000000000.0,584000000000.0,80600000000.0,130000000000.0,62000000000.0,40100000000.0,29400000000.0,36600000000.0
2022M04,275000000000.0,556000000000.0,82300000000.0,129000000000.0,62700000000.0,40300000000.0,29100000000.0,36800000000.0
2022M05,275000000000.0,574000000000.0,83600000000.0,123000000000.0,62400000000.0,40500000000.0,29500000000.0,36600000000.0
2022M06,274000000000.0,580000000000.0,83800000000.0,130000000000.0,63500000000.0,39900000000.0,29700000000.0,36600000000.0
2022M07,274000000000.0,584000000000.0,83800000000.0,130000000000.0,61300000000.0,39900000000.0,29200000000.0,36900000000.0
2022M08,274000000000.0,587000000000.0,82900000000.0,132000000000.0,60000000000.0,39900000000.0,30000000000.0,36400000000.0
2022M09,275000000000.0,593000000000.0,84800000000.0,131000000000.0,61200000000.0,39200000000.0,29900000000.0,35800000000.0
2022M10,274000000000.0,594000000000.0,83700000000.0,131000000000.0,58700000000.0,39400000000.0,29200000000.0,36400000000.0
2022M11,274000000000.0,587000000000.0,84200000000.0,130000000000.0,63000000000.0,39700000000.0,29600000000.0,36400000000.0
2022M12,270000000000.0,588000000000.0,82400000000.0,129000000000.0,62600000000.0,39200000000.0,29800000000.0,36500000000.0
2023M01,272000000000.0,595000000000.0,83600000000.0,124000000000.0,63500000000.0,39100000000.0,29400000000.0,36400000000.0
2023M02,273000000000.0,597000000000.0,85500000000.0,128000000000.0,63900000000.0,39100000000.0,29900000000.0,36400000000.0
2023M03,274000000000.0,603000000000.0,83300000000.0,128000000000.0,63300000000.0,38900000000.0,29500000000.0,36700000000.0
2023M04,274000000000.0,592000000000.0,82600000000.0,129000000000.0,65000000000.0,39000000000.0,29500000000.0,36500000000.0
2023M05,274000000000.0,600000000000.0,84000000000.0,126000000000.0,65300000000.0,38700000000.0,30100000000.0,36700000000.0
2023M06,271000000000.0,606000000000.0,82000000000.0,129000000000.0,65500000000.0,39400000000.0,29800000000.0,36600000000.0
2023M07,274000000000.0,609000000000.0,81200000000.0,127000000000.0,64900000000.0,39200000000.0,29700000000.0,36300000000.0
2023M08,273000000000.0,617000000000.0,81100000000.0,127000000000.0,66900000000.0,39100000000.0,29700000000.0,36500000000.0
2023M09,274000000000.0,619000000000.0,80500000000.0,127000000000.0,65300000000.0,38900000000.0,29700000000.0,36400000000.0
2023M10,272000000000.0,622000000000.0,80200000000.0,128000000000.0,66400000000.0,38400000000.0,29700000000.0,36500000000.0
2023M11,273000000000.0,626000000000.0,80000000000.0,128000000000.0,64800000000.0,38500000000.0,29800000000.0,37000000000.0
2023M12,273000000000.0,628000000000.0,78800000000.0,129000000000.0,65700000000.0,38600000000.0,29900000000.0,37600000000.0
2024M01,269000000000.0,632000000000.0,79400000000.0,120000000000.0,66100000000.0,38100000000.0,29800000000.0,37100000000.0
2024M02,272000000000.0,634000000000.0,80100000000.0,120000000000.0,67400000000.0,38400000000.0,30000000000.0,37100000000.0
2024M03,272000000000.0,629000000000.0,78900000000.0,125000000000.0,66800000000.0,38800000000.0,29800000000.0,37300000000.0
2024M04,272000000000.0,634000000000.0,79300000000.0,124000000000.0,67900000000.0,38500000000.0,30100000000.0,37200000000.0
2024M05,273000000000.0,637000000000.0,77400000000.0,125000000000.0,68700000000.0,38400000000.0,29700000000.0,36800000000.0
2024M06,273000000000.0,638000000000.0,78900000000.0,123000000000.0,68400000000.0,38500000000.0,29700000000.0,38400000000.0
2024M07,271000000000.0,643000000000.0,76800000000.0,126000000000.0,68000000000.0,38200000000.0,29800000000.0,37800000000.0
2024M08,272000000000.0,647000000000.0,78600000000.0,124000000000.0,67100000000.0,38600000000.0,30000000000.0,37700000000.0
2024M09,271000000000.0,650000000000.0,77300000000.0,125000000000.0,67800000000.0,38600000000.0,29800000000.0,38100000000.0
2024M10,270000000000.0,655000000000.0,76800000000.0,127000000000.0,69400000000.0,38400000000.0,29700000000.0,38100000000.0
2024M11,269000000000.0,660000000000.0,77600000000.0,124000000000.0,68100000000.0,38100000000.0,29700000000.0,37900000000.0
2024M12,272000000000.0,666000000000.0,76500000000.0,124000000000.0,68200000000.0,38400000000.0,29600000000.0,37900000000.0
